Tag_id,Category_id,Frequency (Count),Frequency (%),Total_Likes,Total_Reposts,Total_Comments,Total_Engagement,X_Total_Engagement,Truth_Total_Engagement,Average_Engagement,X_Average_Engagement,Truth_Average_Engagement
A1,A,7,11.86,742913,147198,69261,959372,779573,179799,137053.14,389786.5,35959.8
A2,A,6,10.17,925358,141971,61116,1128445,996311,132134,188074.17,498155.5,33033.5
A3,A,2,3.39,46300,10420,2332,59052,0,59052,29526.0,0.0,29526.0
A4,A,3,5.08,149100,31730,1069,181899,0,181899,60633.0,0.0,60633.0
A5,A,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
A6,A,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
B1,B,8,13.56,238600,56470,12095,307165,0,307165,38395.62,0.0,38395.62
B2,B,13,22.03,1233683,219277,68309,1521269,959131,562138,117020.69,479565.5,51103.45
B3,B,3,5.08,137200,31840,7774,176814,0,176814,58938.0,0.0,58938.0
B4,B,1,1.69,20300,5090,1106,26496,0,26496,26496.0,0.0,26496.0
B5,B,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
B6,B,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
B7,B,1,1.69,36400,7120,3285,46805,0,46805,46805.0,0.0,46805.0
B8,B,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
C1,C,5,8.47,795554,148728,56281,1000563,825203,175360,200112.6,412601.5,58453.33
C2,C,1,1.69,321804,55438,18092,395334,395334,0,395334.0,395334.0,0.0
C3,C,1,1.69,9040,2250,208,11498,0,11498,11498.0,0.0,11498.0
C4,C,1,1.69,308769,70444,43823,423036,423036,0,423036.0,423036.0,0.0
C5,C,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
C6,C,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
C7,C,4,6.78,727784,101993,53663,883440,845193,38247,220860.0,422596.5,19123.5
C8,C,3,5.08,131000,21161,10913,163074,0,163074,54358.0,0.0,54358.0
