Category ID,Category Name,Platform,Frequency (Count),Frequency (%),Total Engagement,Average Engagement
A,Subjugating the Bureaucracy,Combined,18,31.00%,"2,328,768","129,376"
A,Subjugating the Bureaucracy,X,,,,
A,Subjugating the Bureaucracy,Truth Social,,,,
B,Waging Culture Wars,Combined,25,43.10%,"1,637,974","65,519"
B,Waging Culture Wars,X,,,,
B,Waging Culture Wars,Truth Social,,,,
C,Remaking Power Structures,Combined,15,25.90%,"2,876,945","191,796"
C,Remaking Power Structures,X,,,,
C,Remaking Power Structures,Truth Social,,,,
TOTAL,All Categories,Combined,58,100%,"6,843,687","117,995"
