author,author_handle,text,date_published,likes,replies,retweets,bookmarks,views,url,extraction_status,error_message
Donald J. Trump,@realDonaldTrump,no text,2025-06-17T16:48:08.000Z,614562,86450,76323,18229,132400000,https://x.com/realDonaldTrump/status/1935016621569179804,success,
Donald J. Trump,@realDonaldTrump,no text,2025-06-17T16:47:52.000Z,530002,66687,71434,22910,101400000,https://x.com/realDonaldTrump/status/1935016557224050887,success,
Donald J. Trump,@realDonaldTrump,no text,2025-06-17T16:47:28.000Z,580496,55638,61383,21981,105100000,https://x.com/realDonaldTrump/status/1935016454644023767,success,
Donald J. Trump,@realDonaldTrump,President Trump Participates in the 250th Anniversary of the U.S. Army Grand Military Parade,2025-06-14T22:03:57.000Z,322967,36865,56142,16146,58600000,https://x.com/realDonaldTrump/status/1934008938334228752,success,
Donald J. Trump,@realDonaldTrump,President Donald J. Trump is Protecting American Steel,2025-06-02T23:52:36.000Z,184285,34486,29999,4556,36300000,https://x.com/realDonaldTrump/status/1929687626216280184,success,
Donald J. Trump,@realDonaldTrump,no text,2025-06-02T17:28:46.000Z,421623,41059,61561,10734,71200000,https://x.com/realDonaldTrump/status/1929591031139360976,success,
Donald J. Trump,@realDonaldTrump,no text,2025-05-31T12:54:08.000Z,462844,32108,65996,12741,36500000,https://x.com/realDonaldTrump/status/1928797140408533377,success,
Donald J. Trump,@realDonaldTrump,no text,2025-05-26T19:50:36.000Z,332505,24147,46885,8484,45800000,https://x.com/realDonaldTrump/status/1927090010353721796,success,
Donald J. Trump,@realDonaldTrump,President Trump Addresses the Army Academy’s Class of 2025,2025-05-24T14:18:32.000Z,123489,14235,22405,4571,46600000,https://x.com/realDonaldTrump/status/1926281665929691590,success,
Donald J. Trump,@realDonaldTrump,"“THE ONE, BIG, BEAUTIFUL BILL” has PASSED the House of Representatives! This is arguably the most significant piece of Legislation that will ever be signed in the History of our Country! The Bill includes MASSIVE Tax CUTS, No Tax on Tips, No Tax on Overtime, Tax Deductions when you purchase an American Made Vehicle, along with strong Border Security measures, Pay Raises for our ICE and Border Patrol Agents, Funding for the Golden Dome, “TRUMP Savings Accounts” for newborn babies, and much more! Great job by Speaker Mike Johnson, and the House Leadership, and thank you to every Republican who voted YES on this Historic Bill! Now, it’s time for our friends in the United States Senate to get to work, and send this Bill to my desk AS SOON AS POSSIBLE! There is no time to waste. The Democrats have lost control of themselves, and are aimlessly wandering around, showing no confidence, grit, or determination. They have forgotten their landslide loss in the Presidential Election, and are warped in the past, hoping someday to revive Open Borders for the World’s criminals to be able to pour into our Country, men to be able to play in women’s sports, and transgender for everybody. They don’t realize that these things, and so many more like them, will NEVER AGAIN happen!",2025-05-22T13:44:04.000Z,362380,43662,62088,16469,62200000,https://x.com/realDonaldTrump/status/1925548216243703820,success,
Donald J. Trump,@realDonaldTrump,no text,2025-05-21T14:47:03.000Z,563090,46247,77327,19974,90400000,https://x.com/realDonaldTrump/status/1925201677914603580,success,
Donald J. Trump,@realDonaldTrump,no text,2025-05-19T17:50:57.000Z,475628,40978,71785,19290,65700000,https://x.com/realDonaldTrump/status/1924523182909747657/photo/1,success,
Donald J. Trump,@realDonaldTrump,no text,2025-05-17T17:31:12.000Z,196023,14619,28999,10178,41700000,https://x.com/realDonaldTrump/status/1923793436068487574,success,
Donald J. Trump,@realDonaldTrump,no text,2025-05-17T17:29:44.000Z,329777,15752,47282,14275,57500000,https://x.com/realDonaldTrump/status/1923793069138178293,success,
Donald J. Trump,@realDonaldTrump,no text,2025-05-17T17:27:58.000Z,335567,13119,50590,20033,52400000,https://x.com/realDonaldTrump/status/1923792625028497464,success,
Donald J. Trump,@realDonaldTrump,"THE SUPREME COURT IS BEING PLAYED BY THE RADICAL LEFT LOSERS, WHO HAVE NO SUPPORT, THE PUBLIC HATES THEM, AND THEIR ONLY HOPE IS THE INTIMIDATION OF THE COURT, ITSELF. WE CAN’T LET THAT HAPPEN TO OUR COUNTRY!",2025-05-16T17:37:33.000Z,328368,34092,56424,7508,54500000,https://x.com/realDonaldTrump/status/1923432648103333919,success,
Donald J. Trump,@realDonaldTrump,"Republicans MUST UNITE behind, “THE ONE, BIG BEAUTIFUL BILL!” Not only does it cut Taxes for ALL Americans, but it will kick millions of Illegal Aliens off of Medicaid to PROTECT it for those who are the ones in real need. The Country will suffer greatly without this Legislation, with their Taxes going up 65%. It will be blamed on the Democrats, but that doesn’t help our Voters. We don’t need “GRANDSTANDERS” in the Republican Party. STOP TALKING, AND GET IT DONE! It is time to fix the MESS that Biden and the Democrats gave us. Thank you for your attention to this matter!",2025-05-16T17:16:46.000Z,240327,19940,44627,5032,38800000,https://x.com/realDonaldTrump/status/1923427418913616200,success,
Donald J. Trump,@realDonaldTrump,President Trump Participates in a U.S.-Saudi Investment Forum,2025-05-13T17:47:15.000Z,147517,16121,30207,6910,35200000,https://x.com/realDonaldTrump/status/1922347924987474196,success,
Donald J. Trump,@realDonaldTrump,no text,2025-05-12T12:54:40.000Z,456870,28482,59868,11017,71100000,https://x.com/realdonaldtrump/status/1921911904429088892,success,
Donald J. Trump,@realDonaldTrump,no text,2025-05-12T12:54:25.000Z,284116,27529,42779,6676,54200000,https://x.com/realdonaldtrump/status/1921911844026954234,success,
Donald J. Trump,@realDonaldTrump,no text,2025-05-11T22:52:27.000Z,357250,17418,46283,6605,50600000,https://x.com/realdonaldtrump/status/1921699954696855934,success,
Donald J. Trump,@realDonaldTrump,no text,2025-05-10T12:03:09.000Z,1014644,124292,159451,26421,135100000,https://x.com/realdonaldtrump/status/1921174163848401313,success,
Donald J. Trump,@realDonaldTrump,"Today, I signed an Executive Order to launch the first-ever self-deportation program. Illegal aliens who stay in America face punishments, including—sudden deportation, in a place and manner solely of our discretion. TO ALL ILLEGAL ALIENS: BOOK YOUR FREE FLIGHT RIGHT NOW!",2025-05-10T01:04:06.000Z,483584,31235,81285,25858,74200000,https://x.com/realdonaldtrump/status/1921008311492624867,success,
Donald J. Trump,@realDonaldTrump,no text,2025-05-09T02:40:11.000Z,291372,13960,35865,9857,51400000,https://x.com/realdonaldtrump/status/1920670100987740317,success,
Donald J. Trump,@realDonaldTrump,"President Trump Makes a Trade Announcement, May 8, 2025",2025-05-08T16:40:16.000Z,98219,8855,18924,3711,33299999,https://x.com/realdonaldtrump/status/1920519130941170088,success,
Donald J. Trump,@realDonaldTrump,no text,2025-05-07T02:38:22.000Z,215436,17848,30104,5516,40300000,https://x.com/realdonaldtrump/status/1919944872020127980,success,
Donald J. Trump,@realDonaldTrump,President Trump Delivers a Sports Announcement,2025-05-05T17:41:13.000Z,61842,8105,12295,1482,22300000,https://x.com/realdonaldtrump/status/1919447302982299811,success,
Donald J. Trump,@realDonaldTrump,"This was so wonderful, 9 years ago today!",2016-05-05T18:57:30.000Z,370649,17461,33202,11009,71400000,https://x.com/realdonaldtrump/status/1919420490663288913,success,
Donald J. Trump,@realDonaldTrump,no text,2025-05-05T14:28:01.000Z,154546,6287,26115,4641,33600000,https://x.com/realdonaldtrump/status/1919398681423299068,success,
Donald J. Trump,@realDonaldTrump,no text,2025-05-05T14:23:22.000Z,128856,5031,22495,3339,22600000,https://x.com/realdonaldtrump/status/1919397513032790522,success,
