Title,Link,Date,Category
"Presidential Permit Authorizing the City of Eagle Pass, Texas, to Expand and Continue to Maintain and Operate a Vehicular and Pedestrian Border Crossing at the Camino Real International Bridge Land Port of Entry",https://www.whitehouse.gov/presidential-actions/2025/06/presidential-permit-authorizing-the-city-of-eagle-pass-texas-to-expand-and-continue-to-maintain-and-operate-a-vehicular-and-pedestrian-border-crossing-at-the-camino-real-international-bridge-land-po/,20-Jun-25,"Presidential Actions, Presidential Memoranda"
Further Extending the TikTok Enforcement Delay,https://www.whitehouse.gov/presidential-actions/2025/06/further-extending-the-tiktok-enforcement-delay/,19-Jun-25,"Presidential Actions, Executive Orders"
250th Anniversary of the Battle of Bunker Hill,https://www.whitehouse.gov/presidential-actions/2025/06/250th-anniversary-of-the-battle-of-bunker-hill/,17-Jun-25,"Presidential Actions, Proclamations"
Implementing the General Terms of The United States of America-United Kingdom Economic Prosperity Deal,https://www.whitehouse.gov/presidential-actions/2025/06/implementing-the-general-terms-of-the-united-states-of-america-united-kingdom-economic-prosperity-deal/,16-Jun-25,"Presidential Actions, Executive Orders"
Nominations Sent to the Senate,https://www.whitehouse.gov/presidential-actions/2025/06/nominations-sent-to-the-senate-3c08/,16-Jun-25,"Presidential Actions, Nominations & Appointments"
"Father’s Day, 2025",https://www.whitehouse.gov/presidential-actions/2025/06/fathers-day-2025/,13-Jun-25,"Presidential Actions, Proclamations"
"Flag Day and National Flag Week, 2025",https://www.whitehouse.gov/presidential-actions/2025/06/flag-day-and-national-flag-week-2025/,13-Jun-25,"Presidential Actions, Proclamations"
Regarding the Proposed Acquisition of the United States Steel Corporation by Nippon Steel Corporation,https://www.whitehouse.gov/presidential-actions/2025/06/regarding-the-proposed-acquisition-of-the-united-states-steel-corporation-by-nippon-steel-corporation/,13-Jun-25,"Presidential Actions, Executive Orders"
250th Anniversary of the Founding of the United States Army,https://www.whitehouse.gov/presidential-actions/2025/06/250th-anniversary-of-the-founding-of-the-united-states-army/,13-Jun-25,"Presidential Actions, Proclamations"
"Presidential Permit Authorizing the City of Laredo, Texas, to Expand and Continue to Maintain, and Operate a Vehicular Border Crossing at the Laredo-Colombia Solidarity International Bridge Land Port of Entry",https://www.whitehouse.gov/presidential-actions/2025/06/presidential-permit-authorizing-the-city-of-laredo-texas-to-expand-and-continue-to-maintain-and-operate-a-vehicular-border-crossing-at-the-laredo-colombia-solidarity-international-bridge-land-port/,13-Jun-25,"Presidential Actions, Presidential Memoranda"
Stopping Radical Environmentalism to Generate Power for the Columbia River Basin,https://www.whitehouse.gov/presidential-actions/2025/06/stopping-radical-environmentalism-to-generate-power-for-the-columbia-river-basin/,12-Jun-25,"Presidential Actions, Presidential Memoranda"
Empowering Commonsense Wildfire Prevention and Response,https://www.whitehouse.gov/presidential-actions/2025/06/empowering-commonsense-wildfire-prevention-and-response/,12-Jun-25,"Presidential Actions, Executive Orders"
"Presidential Permit Authorizing Green Corridors, LLC, to Construct, Maintain, and Operate a Commercial Elevated Guideway Border Crossing Near Laredo, Texas, at the International Boundary Between the United States and Mexico",https://www.whitehouse.gov/presidential-actions/2025/06/presidential-permit-authorizing-green-corridors-llc-to-construct-maintain-and-operate-commercial-elevated-guideway-border-crossing-near-laredo-texas-at-the-international-boundary-between-the-us-mexico/,09-Jun-25,"Presidential Actions, Presidential Memoranda"
Department of Defense Security for the Protection of Department of Homeland Security Functions,https://www.whitehouse.gov/presidential-actions/2025/06/department-of-defense-security-for-the-protection-of-department-of-homeland-security-functions/,07-Jun-25,"Presidential Actions, Presidential Memoranda"
Leading The World in Supersonic Flight,https://www.whitehouse.gov/presidential-actions/2025/06/leading-the-world-in-supersonic-flight/,06-Jun-25,"Presidential Actions, Executive Orders"
Restoring American Airspace Sovereignty,https://www.whitehouse.gov/presidential-actions/2025/06/restoring-american-airspace-sovereignty/,06-Jun-25,"Presidential Actions, Executive Orders"
Unleashing American Drone Dominance,https://www.whitehouse.gov/presidential-actions/2025/06/unleashing-american-drone-dominance/,06-Jun-25,"Presidential Actions, Executive Orders"
Sustaining Select Efforts to Strengthen the Nation’s Cybersecurity and Amending Executive Order 13694 and Executive Order 14144,https://www.whitehouse.gov/presidential-actions/2025/06/sustaining-select-efforts-to-strengthen-the-nations-cybersecurity-and-amending-executive-order-13694-and-executive-order-14144/,06-Jun-25,"Presidential Actions, Executive Orders"
